participant.code,subsession.round_number,cash_before_work,cash_before_work_type,work_type,work_profit,work_profit_type,cash_before_health_invest,cash_before_health_invest_type,health_invest_type,health_invest_profit,health_invest_profit_type,cash_before_repay,cash_before_repay_type,repay_type,repay_profit,repay_profit_x,repay_profit_type,cash_before_loan,cash_before_loan_type,loan_type,loan_profit,loan_profit_type,cash_before_invest,cash_before_invest_type,invest_type,invest_profit,invest_profit_type,cash_before_venture,cash_before_venture_type,venture_type,venture_profit,venture_profit_type,cash_before_insurance,cash_before_insurance_type,insurance_type,insurance_profit,insurance_profit_type,cash_before_lottery,cash_before_lottery_type,player.lucky_invest,lottery_type,player.lucky,lottery_profit,lottery_profit_type,cash_before_impact,cash_before_impact_type,impact_type,player.crash_type,impact_profit,impact_profit_type,cash_before_health_impact,cash_before_health_impact_type,health_impact_type,player.health_type,health_impact_profit,health_impact_profit_type,cash_before_preference,cash_before_preference_type,preference_type,preference_profit,preference_profit_type,cash_before_patience,cash_before_patience_type,patience_type,patience_profit,patience_profit_type,player.loss,player.cash,player.total_loans,total,player.treatments,treat5
6l4hmpzv,18,324.51,1,0,18,2,342.51,1,2,-10,0,332.51,1,1,-100,-100,0,232.51,1,1,109.12,2,341.63,1,1,51,2,392.63,1,1,-100,0,292.63,1,1,-29.263,0,263.367,1,1,1,0,-1,0,262.37,1,0,无,0,1,262.37,1,1,小,-5,0,257.37,1,6,0,1,257.37,1,1,6.6,2,0,263.97,128.11,108.17,2,0
4c16txm9,18,75.01,1,0,27,2,102.01,1,2,-10,0,92.01,1,1,-17.2,-17.2,0,74.81,1,1,31.41,2,106.22,1,1,1.6,2,107.82,1,1,-5,0,102.82,1,1,-10.282,0,92.538,1,0,0,0,0,1,92.54,1,0,无,0,1,92.54,1,1,小,-5,0,87.54,1,5,2.4,2,89.94,1,0,5,2,0,94.94,31.43,15.65,2,0
4de7ayta,18,103.06,1,0,6,2,109.06,1,1,-5,0,104.06,1,1,-12.859,-12.86,0,91.201,1,1,18.24,2,109.441,1,1,9,2,118.441,1,1,0,1,118.441,1,1,-11.8441,0,106.5969,1,1,1,0,-1,0,105.6,1,0,无,0,1,105.6,1,0,无,0,1,105.6,1,6,0,1,105.6,1,1,6.4,2,0,112,18.24,11.69,2,0
o7pqerl1,18,198.41,1,0,30,2,228.41,1,2,-10,0,218.41,1,0,0,0,1,218.41,1,1,4.52,2,222.93,1,1,-11.15,0,211.78,1,1,10,2,221.78,1,1,-22.178,0,199.602,1,1,1,0,-1,0,198.6,1,0,无,0,1,198.6,1,0,无,0,1,198.6,1,6,0,1,198.6,1,1,5.8,2,0,204.4,83.6,71.89,2,0
7voc4ywi,18,76.8,1,0,6,2,82.8,1,2,-10,0,72.8,1,0,0,0,1,72.8,1,0,0,1,72.8,1,1,1.14,2,73.94,1,1,7.97,2,81.91,1,1,-8.191,0,73.719,1,0.72,1,0,-0.72,0,73,1,0,无,0,1,73,1,1,小,-5,0,68,1,3,4.2,2,72.2,1,1,0,1,0,72.2,0,0,2,0
4qo41x6y,18,38.94,1,0,-6,0,32.94,1,1,-5,0,27.94,1,0,0,0,1,27.94,1,0,0,1,27.94,1,1,-1,0,26.94,1,0,0,1,26.94,1,1,-2.694,0,24.246,1,1,1,0,-1,0,23.25,1,0,无,0,1,23.25,1,2,中,-21,0,2.25,1,5,19.2,2,21.45,1,1,6.8,2,0,28.25,27.6,25.09,2,0
g004gng8,18,112.66,1,0,18,2,130.66,1,1,-5,0,125.66,1,1,-11.517,-11.52,0,114.143,1,0,0,1,114.143,1,1,0.5,2,114.643,1,1,-5,0,109.643,1,1,-10.9643,0,98.6787,1,1,1,0,-1,0,97.68,1,0,无,0,1,97.68,1,1,小,-7,0,90.68,1,5,19.2,2,109.88,1,1,6.4,2,0,116.28,0,10.47,2,0
ttjy4cwz,19,-21.4,0,0,9,2,-12.4,0,0,0,1,-12.4,0,0,0,0,1,-12.4,0,0,0,1,-12.4,0,0,0,1,-12.4,0,0,0,1,-12.4,0,0,0,1,-12.4,0,0,0,0,0,1,-12.4,0,2,中,-10,0,-22.4,0,0,无,0,1,-22.4,0,2,7.2,2,-15.2,0,0,5,2,0,-10.2,0,0,2,0
idr031u6,19,173.74,1,0,24,2,197.74,1,2,-10,0,187.74,1,0,0,0,1,187.74,1,0,0,1,187.74,1,1,-1.5,0,186.24,1,1,0,1,186.24,1,1,-18.624,0,167.616,1,1,1,0,-1,0,166.62,1,0,无,0,1,166.62,1,1,小,-5,0,161.62,1,4,1.8,2,163.42,1,1,5.8,2,0,169.22,0,0,2,0
s1ftoyto,19,63.83,1,0,-30,0,33.83,1,2,-10,0,23.83,1,0,0,0,1,23.83,1,0,0,1,23.83,1,1,1.5,2,25.33,1,1,0,1,25.33,1,1,-2.533,0,22.797,1,1,1,0,-1,0,21.8,1,0,无,0,1,21.8,1,2,中,-15,0,6.8,1,1,2.7,2,9.5,1,1,5.4,2,1,14.9,0,0,2,0
