code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit
1gpsk1od,13,0,24,2,-10,0,0,0,0,1,35.34,1,35.48,1,-30.643,1,-1,0,0,1,-5,6,24,1,0,221.61,293.79,72.18
6l4hmpzv,13,0,21,1,-5,1,-50,1,95.2,1,15,1,100,1,-46.084,0,0,0,0,3,-35,6,24,0,141.09,284.64,415.16,130.52
4c16txm9,13,0,15,1,-5,1,-0.81,1,8.34,1,1.2,1,12,1,-6.323,0,0,0,0,1,-7,5,2.4,0,13.34,32.5,57.31,24.81
4de7ayta,13,0,15,1,-5,1,-23.056,1,21.82,1,-5,1,22.5,1,-14.8414,1,-1,0,0,3,-35,6,24,0,26.82,122.15,126.57,4.42
o7pqerl1,13,0,27,1,-5,0,0,1,12.87,1,1.5,1,7.5,1,-8.623,1,-1,0,0,3,-35,6,24,0,18.67,42.36,71.41,29.05
7voc4ywi,13,0,12,2,-10,0,0,0,0,1,0.81,1,-8.5,1,-3.851,1,-0.16,0,0,1,-5,3,15,0,11,44.2,55.5,11.3
4qo41x6y,13,0,-9,0,0,1,-0.01,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,5,19.2,1,0,-6.35,-32.16,-25.81
g004gng8,13,0,15,1,-5,1,-2,1,1.69,1,0.7,1,0,1,-3.851,1,-1,0,0,0,0,5,2.4,0,10.33,28.12,42.46,14.34
ttjy4cwz,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,2.4,0,5,-11.87,-12.47,-0.6
idr031u6,14,0,30,2,-10,0,0,0,0,1,-1.5,1,-3,1,-12.962,1,-1,0,0,0,0,3,2.1,1,6.4,114.12,124.16,10.04
s1ftoyto,14,0,21,1,-5,1,-1.617,0,0,1,0.67,1,11.1,1,-6.8503,1,-1,0,0,2,-21,6,16,1,5.8,42.35,61.45,19.1
519slsew,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,16,0,5,-24,-10,14
8tid5gfd,14,0,27,1,-5,1,-212.74,1,170.18,1,22.69,1,0,1,-47.65,1,-1,0,0,2,-21,4,1.8,0,170.18,474.37,408.65,-65.72
keqepf0m,14,0,27,1,-5,1,-47.41,1,56.3,1,10,1,-10,1,-15.013,1,-1,0,0,0,0,2,7.2,0,67.9,119.24,152.92,33.68
387fhffi,14,0,18,1,-5,0,0,0,0,1,-4.5,1,0,1,-8.731,1,-1,0,0,1,-7,5,1.2,1,6.8,78.81,78.58,-0.23
scbb77jn,14,0,30,2,-10,0,0,0,0,1,5,1,-5,1,-13.263,1,-0.5,0,0,0,0,6,0,1,0,112.63,118.87,6.24
9t5yap6j,14,0,24,1,-5,0,0,0,0,1,0.45,1,2,1,-11.457,1,-0.01,0,0,0,0,2,7.2,1,7,93.12,117.3,24.18
g91ye1x3,14,0,21,2,-10,1,-40.865,1,43.7,1,0.5,1,-5,1,-11.2045,1,-1,0,0,3,-25,3,7.5,0,48.7,102.71,87.34,-15.37
fkw475f4,14,0,30,2,-10,0,0,0,0,1,0.04,1,2,1,-1.039,1,-0.01,0,0,1,-5,6,16,0,11.45,-11.65,25.94,37.59
t7uhl32a,14,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,2,7.2,1,6.2,-37.28,-56.88,-19.6
1gpsk1od,14,0,30,2,-10,0,0,0,0,1,47.07,1,0,1,-36.086,0,0,0,0,1,-5,6,16,0,11.2,293.79,346.97,53.18
6l4hmpzv,14,0,24,1,-5,1,-100,1,132.24,1,20,1,-100,1,-38.64,1,-1,0,0,2,-21,6,0,0,174.9,415.16,325.76,-89.4
4c16txm9,14,0,12,1,-5,1,-9.17,1,18.2,1,-0.75,1,9,1,-8.159,0,0,0,0,2,-21,5,9.6,0,23.2,57.31,67.03,9.72
4de7ayta,14,0,15,1,-5,1,-24,1,22.51,1,10,1,7.5,1,-15.258,1,-1,0,0,2,-21,6,16,0,22.51,126.57,131.32,4.75
o7pqerl1,14,0,27,1,-5,1,-14.157,0,0,1,6,1,-5,1,-8.0253,1,-1,0,0,1,-7,6,16,1,5.2,71.41,85.43,14.02
7voc4ywi,14,0,12,2,-10,0,0,0,0,1,1.03,1,-5.26,1,-5.327,1,-0.04,0,0,0,0,3,2.1,1,0,55.5,50,-5.5
4qo41x6y,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,1,-4.68,1,-15,6,0,1,6.4,-32.16,33.56,65.72
g004gng8,14,0,21,1,-5,1,-3,1,5.41,1,1,1,10,1,-7.187,1,-1,0,0,0,0,5,9.6,0,12.93,42.46,79.48,37.02
ttjy4cwz,15,0,30,1,-5,0,0,0,0,1,1.5,1,7.02,1,-2.105,1,-1,0,0,1,-7,2,4.8,0,5,-12.47,20.75,33.22
idr031u6,15,0,30,2,-10,0,0,0,0,1,-1.5,1,4.5,1,-14.716,1,-1,0,0,0,0,3,1.4,1,6.2,124.16,139.04,14.88
s1ftoyto,15,0,9,1,-5,0,0,0,0,1,0.5,1,10,1,-7.595,0,0,0,0,3,-35,6,8,1,6.6,61.45,47.96,-13.49
