code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit
g7uoijja,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,4,0,5,0,-10,-10
8g2iaxf0,1,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,3,3.5,1,0,0,-32.5,-32.5
1yemb6kz,1,0,9,1,-5,0,0,1,2.4,1,0.12,1,1,1,-0.752,1,-1,0,0,1,-7,2,12,1,0,0,10.77,10.77
x6cv314a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-30,1,4.5,0,5,0,-20.5,-20.5
26ovv9nz,1,0,9,1,-5,0,0,1,0.08,1,0.3,1,3,1,-0.738,1,-1,0,0,1,-7,2,12,1,0,0,10.64,10.64
qrj0woux,1,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,3,-50,3,12.5,1,0,0,-64.5,-64.5
edydbr11,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-15,2,-30,5,16,1,0,0,-35,-35
i3ugntg2,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,9.5,0,5,0,-13.5,-13.5
nil7z8nt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,1,4.5,1,0,0,-26.5,-26.5
i3wgnab9,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,4.5,0,5,0,-18.5,-18.5
7rmwik5s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,4,15,0,5,0,19,19
mzj836b0,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,20,1,0,0,1,1
1gblxsq7,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,6,0,1,0,0,-11,-11
t9m6tgki,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,1,9.5,1,0,0,-22.5,-22.5
4hjk8ew7,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,4.5,1,0,0,-14.5,-14.5
luq8s82b,1,0,6,1,-5,0,0,1,0.2,1,-0.06,1,0.57,1,-0.171,1,-0.2,0,0,1,-7,1,4.5,0,5,0,3.84,3.84
96b2y1fq,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,3,12.5,1,0,0,-10.5,-10.5
iuy2mq1n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,2,4,0,5,0,-37,-37
zca7zxyf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,2,4,1,0,0,-17,-17
jj2wn94h,1,0,6,1,-5,0,0,1,0.6,1,0.15,1,-1,1,-0.075,1,-0.5,0,0,0,0,1,9.5,0,5,0,14.68,14.68
68araqh7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,12,1,0,0,-4,-4
zzpnlqei,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,20,0,5,0,-7,-7
v5p7lv20,1,0,15,1,-5,0,0,1,6,1,-0.8,1,5,1,-2.02,1,-1,0,0,1,-7,2,12,0,5,0,27.18,27.18
11qpbunz,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,3,-50,6,0,1,0,0,-73,-73
yaiqosbx,1,0,12,1,-5,0,0,0,0,1,0.45,0,0,1,-0.745,1,-0.05,0,0,1,-7,3,3.5,1,0,0,3.16,3.16
xp91b3qj,1,0,12,1,-5,0,0,1,2.1,1,0.6,1,-2,1,-0.77,1,-2,0,0,1,-7,1,9.5,1,0,0,7.43,7.43
9t4dpmrw,1,0,3,0,0,0,0,0,0,1,0.45,1,-3.45,0,0,0,0,1,0,0,0,6,20,0,5,0,25,25
i6lqx8ts,1,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,4,1,0,0,-22,-22
sqfmjhqp,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,1,9.5,0,5,0,5.5,5.5
5kkr5060,1,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,0,5,0,-23,-23
g7uoijja,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,3,10,1,0,-10,-46,-36
8g2iaxf0,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,1,-15,2,9.6,0,11.8,-32.5,-39.1,-6.6
1yemb6kz,2,0,15,1,-5,1,-2.64,0,0,1,0.3,1,-2.5,1,-1.593,1,-1,0,0,2,-21,4,2.4,1,7,10.77,1.74,-9.03
x6cv314a,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,16,1,0,-20.5,-27.5,-7
26ovv9nz,2,0,-30,0,0,1,-0.088,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,3.2,1,6.6,10.64,-24.65,-35.29
qrj0woux,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,2,9.6,1,6.8,-64.5,-58.1,6.4
edydbr11,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,6,0,1,6,-35,-41,-6
i3ugntg2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,2,9.6,0,5,-13.5,-26.9,-13.4
nil7z8nt,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,9.6,0,10.4,-26.5,-6.5,20
i3wgnab9,2,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,-50,5,12.8,1,0,-18.5,-41.7,-23.2
7rmwik5s,2,0,9,1,-5,0,0,1,4.6,1,1.5,1,7.5,1,-3.66,1,-1,0,0,2,-21,5,12.8,1,0,19,23.74,4.74
mzj836b0,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,1,6.4,1,-14.6,-15.6
1gblxsq7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,0,0,6,16,0,11.6,-11,15.6,26.6
t9m6tgki,2,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,3,2.8,1,7,-22.5,-49.7,-27.2
4hjk8ew7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,16,0,11.8,-14.5,6.3,20.8
luq8s82b,2,0,9,1,-5,1,-0.22,1,0.76,1,0.42,1,8.8,1,-1.76,1,-0.01,0,0,1,-7,2,9.6,1,0,3.84,18.43,14.59
96b2y1fq,2,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,0,0,12,-10.5,-2.5,8
iuy2mq1n,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,1,0,-37,-35,2
zca7zxyf,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,1,3.6,0,11.6,-17,-77.8,-60.8
jj2wn94h,2,0,21,1,-5,1,-0.66,1,3,1,-0.3,1,3,1,-3.572,1,-1,0,0,3,-35,1,7.6,1,0,14.68,3.75,-10.93
68araqh7,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,2,3.2,0,11,-4,-40.8,-36.8
zzpnlqei,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,1,-15,6,16,0,5,-7,-11,-4
v5p7lv20,2,0,24,2,-10,0,0,1,14.15,1,5.53,1,45,1,-10.586,1,-1,0,0,1,-5,2,3.2,0,5,27.18,97.47,70.29
11qpbunz,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,6,0,1,5.8,-73,-98.2,-25.2
yaiqosbx,2,0,18,0,0,0,0,0,0,1,0.5,1,-0.5,1,-2.116,1,-0.04,0,0,2,-30,2,3.2,1,7,3.16,-0.8,-3.96
xp91b3qj,2,0,15,1,-5,1,-1.31,1,4.54,1,0.75,1,2,1,-2.341,1,-2,0,0,1,-7,1,7.6,0,11.6,7.43,31.27,23.84
9t4dpmrw,2,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,6,16,0,5,25,10,-15
i6lqx8ts,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,1,7.6,1,5.4,-22,-46,-24
sqfmjhqp,2,0,0,1,-5,0,0,1,0.25,1,0.07,1,-0.25,1,-0.057,1,-0.5,0,0,0,0,1,3.6,0,5,5.5,8.61,3.11
5kkr5060,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,3.2,0,5,-23,-36.8,-13.8
g7uoijja,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,4,18,0,11.8,-46,-13.2,32.8
8g2iaxf0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,14.4,1,0,-39.1,-28.7,10.4
1yemb6kz,3,0,12,1,-5,0,0,0,0,1,0.2,1,6,1,-1.494,1,-1,0,0,3,-35,4,18,1,7,1.74,2.45,0.71
x6cv314a,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,0,0,11.2,-27.5,-25.3,2.2
26ovv9nz,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,0,0,2,14.4,0,11.8,-24.65,3.55,28.2
qrj0woux,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,3,-50,1,11.4,0,11.8,-58.1,-91.9,-33.8
edydbr11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,0,1,7,-41,-51,-10
i3ugntg2,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,-50,5,2.4,1,0,-26.9,-57.5,-30.6
nil7z8nt,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,2,14.4,0,5,-6.5,-18.1,-11.6
i3wgnab9,3,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,4.8,0,11.2,-41.7,-22.7,19
7rmwik5s,3,0,-6,1,-5,1,-5.06,0,0,1,0.75,1,0,1,-0.843,1,-1,0,0,1,-7,5,19.2,0,11.8,23.74,30.59,6.85
mzj836b0,3,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,0,1,6.8,-14.6,-38.8,-24.2
1gblxsq7,3,0,15,1,-5,0,0,1,12.8,1,2,1,30,1,-7.04,0,0,0,0,1,-7,6,0,1,0,15.6,56.36,40.76
t9m6tgki,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,1,5.4,1,5.2,-49.7,-73.1,-23.4
4hjk8ew7,3,0,6,1,-5,0,0,1,1.46,1,0.2,1,-4,1,-0.496,1,-2,0,0,1,-7,6,0,1,0,6.3,-4.54,-10.84
luq8s82b,3,0,9,1,-5,1,-0.836,0,0,0,0,1,15,1,-3.6594,1,-1,0,0,1,-7,2,14.4,1,6.8,18.43,46.13,27.7
96b2y1fq,3,0,3,0,0,0,0,0,0,0,0,1,0.75,1,-0.125,0,0,0,0,1,-15,5,2.4,0,5,-2.5,-6.47,-3.97
iuy2mq1n,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,1,11.4,0,11.8,-35,6.2,41.2
zca7zxyf,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,14.4,1,0,-77.8,-76.4,1.4
jj2wn94h,3,0,27,1,-5,1,-3.3,0,0,1,0.5,1,-2,1,-2.095,1,-1,0,0,3,-35,1,11.4,0,11.8,3.75,6.06,2.31
68araqh7,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,4.8,1,0,-40.8,-35,5.8
zzpnlqei,3,0,18,1,-5,1,0,1,1.2,0,0,1,1.5,1,-0.47,0,0,0,0,1,-7,6,24,0,5,-11,26.23,37.23
v5p7lv20,3,0,24,2,-10,0,0,1,30.35,1,14.1,1,-75,1,-8.092,1,-1,0,0,1,-5,2,4.8,0,5,97.47,76.63,-20.84
11qpbunz,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,6,0,1,6.6,-98.2,-116.6,-18.4
yaiqosbx,3,0,15,1,-5,0,0,0,0,1,-0.45,1,0,1,-0.875,1,-0.08,0,0,1,-7,1,5.4,0,11,-0.8,17.2,18
xp91b3qj,3,0,21,1,-5,1,-3.09,1,8.24,1,0.3,1,-1,1,-5.172,1,-2,0,0,1,-7,1,11.4,1,5,31.27,53.95,22.68
9t4dpmrw,3,1,9,1,-5,0,0,1,1.96,1,0.8,1,-5,1,-1.176,0,0,0,0,1,-7,6,0,1,0,10,3.58,-6.42
i6lqx8ts,3,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,1,11.4,1,6,-46,-65.6,-19.6
sqfmjhqp,3,0,0,1,-5,1,-0.275,1,2,1,0.3,1,1,1,-0.6635,1,-2,0,0,3,-35,1,5.4,0,5,8.61,-20.63,-29.24
5kkr5060,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,11.4,0,5,-36.8,-36.4,0.4
g7uoijja,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,3,2.1,0,5,-13.2,-0.1,13.1
8g2iaxf0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.2,0,11.4,-28.7,-7.1,21.6
1yemb6kz,4,0,15,1,-5,0,0,0,0,1,0.4,1,2,1,-1.485,1,-1,0,0,3,-35,3,7.5,1,6.8,2.45,-8.33,-10.78
x6cv314a,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,16,0,5,-25.3,-24.3,1
26ovv9nz,4,0,15,2,-10,0,0,1,0.34,1,0.75,1,-4,1,-0.564,1,-1,0,0,2,-15,2,7.2,0,5,3.55,1.28,-2.27
qrj0woux,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,3,-50,2,7.2,1,5,-91.9,-131.7,-39.8
edydbr11,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,6,0,1,6.2,-51,-43.8,7.2
i3ugntg2,4,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,16,1,5.6,-57.5,-91.9,-34.4
nil7z8nt,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,3,7.5,1,0,-18.1,-38.6,-20.5
i3wgnab9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,5,1.2,0,5,-22.7,-41.5,-18.8
7rmwik5s,4,0,-30,0,0,0,0,0,0,1,0.07,1,0.05,1,-0.071,0,0,0,0,0,0,6,0,0,5,30.59,5.64,-24.95
mzj836b0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,6,16,0,10.6,-38.8,-55.2,-16.4
1gblxsq7,4,0,15,1,-5,1,-14.08,0,0,1,1.5,1,-20,1,-3.378,0,0,0,0,0,0,6,16,0,12,56.36,58.4,2.04
t9m6tgki,4,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,2,2.4,1,6.4,-73.1,-125.3,-52.2
4hjk8ew7,4,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,16,0,11.4,-4.54,-1.14,3.4
luq8s82b,4,0,0,1,-5,0,0,0,0,1,2.25,1,-12,1,-3.138,1,-0.01,0,0,1,-7,4,1.8,0,11.4,46.13,34.43,-11.7
96b2y1fq,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,4,9,0,5,-6.47,-18.47,-12
iuy2mq1n,4,0,15,2,-10,0,0,1,0.56,1,0.5,1,4.5,1,-1.676,1,-2,0,0,1,-5,3,2.1,0,5,6.2,15.18,8.98
zca7zxyf,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,3,2.1,1,5.8,-76.4,-91.5,-15.1
jj2wn94h,4,0,18,1,-5,0,0,0,0,1,0.25,1,0,1,-1.931,1,-0.2,0,0,1,-7,1,5.7,1,0,6.06,15.88,9.82
68araqh7,4,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,3,-50,3,2.1,1,6,-35,-117.9,-82.9
zzpnlqei,4,0,12,2,-10,1,-1.32,0,0,1,1.6,1,2.5,1,-3.101,1,-0.91,0,0,2,-15,6,0,1,0,26.23,12,-14.23
v5p7lv20,4,0,18,2,-10,0,0,0,0,1,-4.23,1,30,1,-11.04,1,-1,0,0,1,-5,2,2.4,0,5,76.63,100.76,24.13
11qpbunz,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,0,1,5.2,-116.6,-132.4,-15.8
yaiqosbx,4,0,9,1,-5,0,0,0,0,1,1.5,1,-1.5,1,-2.12,1,-0.08,0,0,0,0,1,5.7,1,0,17.2,24.7,7.5
xp91b3qj,4,0,9,1,-5,1,-6.36,1,2.28,1,-0.1,1,0,1,-5.377,1,-2,0,0,3,-35,1,5.7,0,5,53.95,22.09,-31.86
9t4dpmrw,4,0,3,1,-5,1,-2.156,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-7,6,0,1,6.4,3.58,-12.18,-15.76
i6lqx8ts,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,7.2,1,6.6,-65.6,-67.8,-2.2
sqfmjhqp,4,0,3,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,3,-15,0,0,0,3,0,5,-20.63,-26.63,-6
5kkr5060,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,7.2,1,5,-36.4,-35.2,1.2
g7uoijja,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,3,5,0,5,-0.1,-16.1,-16
8g2iaxf0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15,2,4.8,1,0,-7.1,-17.3,-10.2
1yemb6kz,5,0,21,1,-5,0,0,0,0,1,0.2,1,-5,1,-0.287,1,79,0,0,1,-7,2,1.6,1,6.2,-8.33,82.38,90.71
x6cv314a,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,1,1.8,1,0,-24.3,-59.5,-35.2
26ovv9nz,5,0,21,2,-10,1,-0.37,1,3.57,1,0.8,1,2,1,-1.828,0,0,0,0,2,-15,2,1.6,0,5,1.28,8.05,6.77
qrj0woux,5,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,0,0,5,-131.7,-155.7,-24
edydbr11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,2,-30,0,2,1,6.2,-43.8,-70.6,-26.8
i3ugntg2,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,6,8,1,6.6,-91.9,-107.3,-15.4
nil7z8nt,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,2,1.6,1,6.8,-38.6,-58.2,-19.6
i3wgnab9,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,6,0,0,5,-41.5,-39.5,2
7rmwik5s,5,1,6,1,-5,0,0,0,0,1,-0.3,1,0,1,-0.634,1,-1,0,0,2,-21,4,6,0,5,5.64,-5.29,-10.93
mzj836b0,5,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,8,1,0,-55.2,-103.2,-48
1gblxsq7,5,0,-30,1,-5,0,0,0,0,1,1.5,1,-7.5,1,-1.74,0,0,0,0,1,-7,6,8,1,0,58.4,16.66,-41.74
t9m6tgki,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,1,1.8,1,5.4,-125.3,-114.1,11.2
4hjk8ew7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,5,6.4,1,0,-1.14,4.26,5.4
luq8s82b,5,0,3,1,-5,0,0,0,0,1,2,1,8,1,-4.243,1,-0.01,0,0,2,-21,2,1.6,0,5,34.43,23.78,-10.65
96b2y1fq,5,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,3,5,1,0,-18.47,-22.47,-4
iuy2mq1n,5,0,21,2,-10,1,-0.616,1,7.67,1,1,1,3,1,-3.7234,1,-3,0,0,0,0,4,6,1,5,15.18,41.51,26.33
zca7zxyf,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,4.8,1,6.2,-91.5,-93.5,-2
jj2wn94h,5,0,24,1,-5,0,0,0,0,1,0.5,1,-0.5,1,-3.488,1,-0.1,0,0,0,0,4,1.2,1,6.2,15.88,38.69,22.81
68araqh7,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,2,-30,4,1.2,1,6,-117.9,-147.7,-29.8
zzpnlqei,5,0,27,1,-5,0,0,0,0,1,5.1,1,2.5,1,-4.16,1,-1.44,0,0,1,-7,6,0,1,6.4,12,35.4,23.4
v5p7lv20,5,0,27,2,-10,1,-24.35,0,0,1,9.34,1,25,1,-12.775,1,79,0,0,0,0,1,3.8,0,5,100.76,202.78,102.02
11qpbunz,5,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,3,-50,6,8,1,5.6,-132.4,-190.8,-58.4
yaiqosbx,5,0,18,1,-5,0,0,0,0,1,-0.35,1,0,1,-3.735,1,-0.02,0,0,1,-7,4,1.2,1,6.6,24.7,34.4,9.7
xp91b3qj,5,0,12,1,-5,1,-2.11,1,2,1,0.2,1,-1,1,-2.818,1,-3,0,0,2,-21,2,1.6,1,0,22.09,2.96,-19.13
9t4dpmrw,5,0,-6,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,0,1,6,-12.18,-38.18,-26
i6lqx8ts,5,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,1,1.8,1,6,-67.8,-92,-24.2
sqfmjhqp,5,0,-18,0,0,1,-0.22,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,8,0,5,-26.63,-32.85,-6.22
5kkr5060,5,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,5,0.8,0,5,-35.2,-68.4,-33.2
g7uoijja,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,3,12.5,1,0,-16.1,-18.6,-2.5
8g2iaxf0,6,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,3,12.5,1,6.6,-17.3,-49.2,-31.9
1yemb6kz,6,0,21,1,-5,0,0,0,0,1,2,1,0,1,-10.038,1,-1,0,0,2,-21,2,12,1,6.2,82.38,86.54,4.16
x6cv314a,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,6,20,0,11.6,-59.5,-48.9,10.6
26ovv9nz,6,0,21,2,-10,1,-3.927,1,4.54,1,0.5,1,0,1,-2.0163,0,0,0,0,1,-5,4,15,0,5,8.05,33.14,25.09
qrj0woux,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,4,15,1,0,-155.7,-153.7,2
edydbr11,6,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-30,6,20,1,6.2,-70.6,-77.4,-6.8
i3ugntg2,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,20,1,6,-107.3,-70.3,37
nil7z8nt,6,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,1,9.5,1,6.2,-58.2,-93.5,-35.3
i3wgnab9,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,6,0,1,0,-39.5,-46.5,-7
7rmwik5s,6,0,12,1,-5,0,0,1,1.03,1,0.2,1,3,1,-0.594,1,-1,0,0,2,-21,5,16,1,-1.44E-15,-5.29,-0.65,4.64
mzj836b0,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,5,2,1,6.6,-103.2,-96.6,6.6
1gblxsq7,6,1,18,1,-5,0,0,0,0,1,2.25,1,0,1,-3.191,0,0,0,0,3,-35,6,0,0,11.2,16.66,4.92,-11.74
t9m6tgki,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,1,9.5,1,5.2,-114.1,-122.4,-8.3
4hjk8ew7,6,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,20,0,11.4,4.26,-20.34,-24.6
luq8s82b,6,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,12,1,6.38E-16,23.78,-0.22,-24
96b2y1fq,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,3,3.5,1,7,-22.47,-25.97,-3.5
iuy2mq1n,6,0,21,2,-10,1,-8.437,0,0,1,1.5,1,-2.5,1,-4.3073,1,-2,0,0,1,-5,4,3,1,0,41.51,34.76,-6.75
zca7zxyf,6,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,12,1,6.4,-93.5,-94.1,-0.6
jj2wn94h,6,0,27,1,-5,0,0,0,0,1,1,1,1,1,-6.269,1,-1,0,0,1,-7,2,4,1,6.4,38.69,58.82,20.13
68araqh7,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,4,15,1,6.6,-147.7,-137.1,10.6
zzpnlqei,6,0,24,1,-5,0,0,0,0,1,8.16,1,3.84,1,-6.64,1,-4.76,0,0,1,-7,6,20,1,5.6,35.4,73.6,38.2
v5p7lv20,6,0,24,2,-10,1,-34,1,51.83,1,11.73,1,0,1,-24.634,1,-1,0,0,2,-15,1,9.5,0,5,202.78,220.21,17.43
11qpbunz,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,0,1,6,-190.8,-179.8,11
yaiqosbx,6,0,12,1,-5,0,0,0,0,1,0.5,1,0,1,-4.19,1,-0.08,0,0,0,0,3,3.5,1,7,34.4,48.13,13.73
xp91b3qj,6,0,15,1,-5,1,-0.9,0,0,1,0.3,1,-1,1,-1.136,1,-3,0,0,1,-7,2,12,1,6.6,2.96,18.82,15.86
9t4dpmrw,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,2,-30,6,20,1,6.4,-38.18,-38.78,-0.6
i6lqx8ts,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,2,12,1,6.2,-92,-101.8,-9.8
